725 ---> 0	 Error rate (%): 62.60
726 ---> 0	 Error rate (%): 62.70
727 ---> 0	 Error rate (%): 62.80
728 ---> 0	 Error rate (%): 62.90
729 ---> 729	 Error rate (%): 62.90
730 ---> 0	 Error rate (%): 63.00
731 ---> 0	 Error rate (%): 63.10
732 ---> 0	 Error rate (%): 63.20
733 ---> 733	 Error rate (%): 63.20
734 ---> 734	 Error rate (%): 63.20
735 ---> 0	 Error rate (%): 63.30
736 ---> 0	 Error rate (%): 63.40
737 ---> 737	 Error rate (%): 63.40
738 ---> 0	 Error rate (%): 63.50
739 ---> 0	 Error rate (%): 63.60
740 ---> 740	 Error rate (%): 63.60
741 ---> 741	 Error rate (%): 63.60
742 ---> 0	 Error rate (%): 63.70
743 ---> 0	 Error rate (%): 63.80
744 ---> 0	 Error rate (%): 63.90
745 ---> 0	 Error rate (%): 64.00
746 ---> 746	 Error rate (%): 64.00
747 ---> 0	 Error rate (%): 64.10
748 ---> 748	 Error rate (%): 64.10
749 ---> 0	 Error rate (%): 64.20
750 ---> 0	 Error rate (%): 64.30
751 ---> 0	 Error rate (%): 64.40
752 ---> 0	 Error rate (%): 64.50
753 ---> 0	 Error rate (%): 64.60
754 ---> 0	 Error rate (%): 64.70
755 ---> 755	 Error rate (%): 64.70
756 ---> 0	 Error rate (%): 64.80
757 ---> 0	 Error rate (%): 64.90
758 ---> 758	 Error rate (%): 64.90
759 ---> 759	 Error rate (%): 64.90
760 ---> 0	 Error rate (%): 65.00
761 ---> 0	 Error rate (%): 65.10
762 ---> 762	 Error rate (%): 65.10
763 ---> 0	 Error rate (%): 65.20
764 ---> 0	 Error rate (%): 65.30
765 ---> 765	 Error rate (%): 65.30
766 ---> 0	 Error rate (%): 65.40
767 ---> 0	 Error rate (%): 65.50
768 ---> 0	 Error rate (%): 65.60
